3	6	10	12	15	19	21	23	26	27	30	32	34	35	35	36	36	36	36	36	36	36	36	36	36	37	37	37	38	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	42	42	43	43	43	43	43	43	43	43	43	43	44	44	
4	6	9	11	15	19	21	22	25	25	27	30	30	31	31	31	31	31	32	32	32	32	32	32	32	32	33	34	34	34	34	34	34	34	34	35	35	36	36	36	36	36	36	37	38	38	39	40	40	40	40	41	41	41	41	41	41	42	42	42	
3	6	10	12	16	20	22	24	27	28	31	33	36	37	37	38	38	38	38	38	38	38	38	38	38	38	38	39	39	40	41	41	41	41	41	42	42	43	43	43	43	43	43	43	44	44	45	46	46	46	46	46	46	46	46	46	46	46	47	47	
4	6	8	9	12	16	18	20	23	24	27	30	31	32	32	33	33	33	34	34	34	34	34	34	34	34	35	36	37	38	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	43	44	44	44	44	45	45	45	45	45	45	45	46	46	
3	5	7	10	13	17	19	21	24	25	29	32	34	36	36	37	37	37	37	37	37	37	37	37	37	38	39	39	40	41	42	42	42	42	42	43	43	44	45	45	45	45	45	45	46	46	47	47	47	47	47	47	47	47	47	47	47	47	47	47	
3	5	9	11	15	19	21	23	26	26	29	32	33	34	34	35	35	35	36	36	36	36	36	36	36	37	37	37	37	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	42	43	43	43	43	43	43	43	43	43	43	43	43	43	
4	6	9	11	15	19	21	23	26	26	28	31	31	32	32	32	32	32	33	33	33	33	33	33	33	34	35	36	36	37	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	42	42	42	42	42	43	43	
4	6	9	12	15	19	21	23	26	27	29	32	34	35	35	35	35	35	36	36	36	36	36	36	36	37	37	38	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	43	43	44	45	45	45	45	45	45	45	45	45	45	45	46	46	
3	5	8	10	13	17	19	21	24	24	26	29	31	32	32	33	33	34	34	34	34	34	34	34	34	35	36	36	37	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	40	40	41	42	42	42	42	42	42	42	42	42	42	42	43	43	
3	5	9	11	14	18	21	22	25	25	28	31	32	33	33	34	34	35	36	36	36	36	36	36	36	36	36	36	37	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	42	43	43	43	43	43	43	43	43	44	44	44	45	45	
3	5	9	11	15	19	21	23	26	26	28	31	33	34	34	34	34	34	35	35	35	35	35	35	35	35	35	36	36	36	36	36	36	36	36	37	37	38	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	40	40	40	40	41	42	42	
3	5	8	10	14	18	21	24	27	28	31	34	35	36	36	36	36	36	36	36	36	36	36	36	36	37	37	38	38	39	39	39	39	39	39	40	40	41	42	42	43	43	43	43	44	44	44	45	46	46	46	47	47	47	47	47	47	47	47	47	
4	7	9	11	14	18	20	22	25	25	28	31	33	34	34	35	35	35	35	35	35	35	35	35	35	35	36	37	38	38	39	39	39	39	39	40	40	41	42	42	42	42	42	42	43	43	44	45	45	45	45	46	46	46	46	46	46	46	47	47	
5	8	11	13	16	20	22	24	27	27	30	32	34	35	35	36	36	36	37	37	37	37	37	37	37	38	39	40	41	41	41	41	41	41	41	42	42	43	43	43	43	43	43	43	43	43	44	44	45	45	45	45	45	45	45	45	45	45	46	46	
3	5	8	10	13	17	20	21	24	25	28	31	32	32	32	32	32	32	33	33	33	33	33	33	33	33	33	34	35	36	36	36	36	36	36	37	37	38	39	39	39	39	39	39	40	40	40	40	41	41	41	42	42	42	42	42	42	42	42	42	
3	5	8	10	13	17	19	21	24	24	27	30	31	32	32	33	33	33	34	34	34	34	34	34	34	35	36	36	37	38	38	38	38	38	38	39	39	40	40	40	41	41	41	41	42	42	43	43	43	43	43	43	43	43	43	43	43	44	44	44	
3	5	8	11	15	19	21	23	26	27	30	33	35	36	36	36	36	37	38	38	38	38	38	38	38	39	39	40	40	41	41	41	41	41	41	42	42	43	44	44	45	45	45	45	46	46	46	47	47	47	47	47	47	47	47	47	47	47	48	48	
4	6	9	12	16	20	23	25	28	29	31	34	34	35	35	35	35	35	36	36	36	36	36	36	36	37	38	39	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	43	43	44	45	45	45	45	45	45	45	45	45	45	45	45	45	
3	6	9	12	16	20	22	24	27	27	30	33	34	35	35	35	35	35	36	36	36	36	36	36	36	36	37	37	37	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	42	42	42	42	42	43	43	
3	5	8	10	14	18	21	23	26	27	29	32	33	34	34	34	34	34	35	35	35	35	35	35	35	36	37	38	38	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	42	43	43	43	43	44	44	44	44	44	44	44	45	45	
3	6	10	12	16	20	22	24	27	28	30	33	34	35	35	36	36	36	37	37	37	37	37	37	37	38	38	39	39	40	41	41	41	41	41	42	42	43	43	43	43	43	43	43	44	44	44	44	44	44	44	45	45	45	45	45	45	45	46	46	
3	5	9	11	14	18	21	23	26	27	30	33	35	36	36	37	37	37	37	37	37	37	37	37	37	37	37	38	39	40	40	40	40	40	40	41	41	42	42	42	42	42	43	43	44	44	44	45	45	45	45	46	46	46	46	46	46	46	47	47	
3	5	8	11	14	18	20	22	24	25	27	30	32	34	34	35	35	35	36	36	36	36	36	36	36	36	37	38	39	40	40	40	41	41	41	42	42	43	43	43	43	43	43	43	43	43	44	44	45	45	45	45	45	45	45	45	45	45	46	46	
3	6	9	12	15	19	22	24	27	28	30	33	35	36	36	37	37	37	38	38	38	38	38	38	38	38	38	38	39	40	40	40	40	40	40	41	41	42	43	43	43	43	43	43	44	44	44	44	44	44	44	45	45	45	45	45	45	45	45	45	
3	5	7	10	14	18	20	22	25	25	27	30	31	32	32	33	33	33	34	34	34	34	34	34	34	35	36	36	36	37	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	43	43	43	43	43	43	43	43	43	43	43	43	43	43	
3	5	9	11	14	18	21	23	26	27	30	33	34	35	35	36	36	36	37	37	37	37	37	37	37	37	37	38	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	44	44	44	44	44	45	45	
3	6	9	11	14	18	20	22	25	25	28	31	31	32	32	32	32	32	33	33	33	33	33	33	33	33	34	35	36	37	37	37	37	37	37	38	38	39	39	39	39	39	39	39	40	40	41	41	42	42	42	42	42	42	42	42	42	42	42	42	
3	5	8	10	13	17	19	20	23	24	27	30	32	34	34	35	35	35	36	36	36	37	37	37	37	38	38	39	40	41	42	42	42	42	42	43	43	44	44	44	45	45	46	46	46	46	47	48	48	48	49	50	50	50	50	50	50	50	51	51	
5	7	10	13	17	21	24	26	29	30	33	36	36	37	37	37	37	37	38	38	38	38	38	38	38	38	39	39	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	43	43	43	44	44	44	44	44	44	44	44	44	44	44	45	45	
3	5	7	9	12	16	19	21	24	25	27	30	31	33	33	33	33	33	34	34	34	34	34	34	34	34	35	36	37	38	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	
3	5	8	10	13	17	19	21	23	24	26	29	30	31	31	32	32	32	33	33	33	33	33	33	33	33	33	34	35	36	36	36	37	37	37	38	38	39	39	39	39	39	39	39	40	40	41	41	41	41	42	42	42	42	42	42	42	42	42	42	
3	5	8	10	13	17	20	22	25	26	29	33	34	35	35	36	36	36	37	37	37	37	37	37	37	38	39	40	41	42	42	42	42	42	42	43	43	44	45	45	45	45	45	45	46	46	46	46	46	46	46	47	47	47	47	47	47	47	48	48	
4	6	8	11	15	19	21	23	26	27	30	33	34	35	35	35	35	35	36	36	36	36	36	36	36	36	37	38	38	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	43	44	44	44	45	46	46	46	46	46	46	47	47	47	
4	7	10	12	15	19	22	23	26	26	29	32	34	35	35	36	36	36	37	37	37	37	37	37	37	37	38	39	40	41	41	41	41	41	41	42	42	43	43	43	44	44	44	44	45	45	45	46	46	46	46	46	46	46	46	46	46	46	47	47	
4	7	9	11	14	18	21	22	25	25	28	31	31	32	32	33	33	33	34	34	34	34	34	34	34	34	35	35	36	36	37	37	37	37	37	38	38	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	42	42	42	42	42	42	42	
5	7	9	10	13	17	19	21	23	24	27	30	32	34	34	35	35	35	37	37	38	38	38	38	38	39	39	40	41	42	42	42	42	42	42	43	43	44	45	45	45	45	45	45	45	45	46	47	47	47	48	49	49	49	49	49	49	49	49	49	
3	6	9	11	14	18	20	22	25	25	28	31	32	33	33	34	34	35	36	36	36	36	36	36	36	36	37	38	39	40	40	40	40	40	40	41	41	42	42	42	43	43	43	43	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	46	
4	6	8	9	12	16	19	21	23	24	27	30	30	31	31	32	32	32	33	33	33	33	33	33	33	33	34	35	36	37	37	37	38	38	38	39	39	40	41	41	42	42	42	42	43	43	44	44	44	44	44	45	45	45	45	45	45	45	46	46	
4	7	11	13	16	20	22	24	27	28	31	34	35	36	36	37	37	37	38	38	38	38	38	38	38	38	38	38	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	43	43	43	44	45	45	45	45	45	45	45	45	45	45	45	45	45	
3	5	8	9	12	16	18	21	24	25	27	31	33	35	35	36	36	36	37	37	37	37	37	37	37	37	37	38	39	40	41	41	41	41	41	41	41	42	42	42	42	42	42	42	43	43	43	43	43	43	44	46	46	46	46	46	46	46	46	46	
4	7	10	12	15	19	22	24	27	28	31	34	35	36	36	37	37	37	38	38	38	38	38	38	38	38	39	40	41	42	42	42	42	42	42	43	43	44	44	44	44	44	44	44	45	45	45	46	46	46	46	47	47	47	47	47	47	47	48	48	
3	6	8	11	14	18	20	22	25	26	28	31	32	33	33	33	33	33	34	34	34	34	34	34	34	34	34	34	35	36	36	36	36	36	36	37	37	38	39	39	39	39	39	39	40	40	40	41	41	41	42	42	42	42	42	43	43	43	44	44	
4	6	9	12	16	20	22	24	27	27	30	33	35	36	36	37	37	37	38	38	38	38	38	38	38	39	39	39	39	40	41	41	41	41	41	42	42	43	44	44	44	44	44	44	45	45	46	47	47	47	48	48	48	48	48	48	48	48	49	49	
4	6	9	11	14	18	20	23	26	27	29	32	33	34	34	35	35	35	36	36	36	36	36	36	37	37	38	38	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	42	42	42	42	43	43	43	44	44	44	44	44	44	44	45	45	
5	7	9	11	14	18	20	22	25	26	29	32	33	34	34	34	34	34	35	35	35	35	35	35	35	35	36	36	37	38	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	42	43	43	43	43	44	44	44	44	44	44	45	45	45	
3	6	9	11	14	18	21	22	25	26	28	31	31	32	32	32	32	32	33	33	33	33	33	33	33	33	34	35	36	37	37	37	37	37	37	38	38	39	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	41	41	41	41	41	42	42	
4	6	10	12	15	19	21	23	26	26	28	31	31	32	32	33	33	33	34	34	34	34	34	34	34	34	34	35	36	36	37	37	37	37	37	38	38	39	39	39	39	39	39	40	41	41	42	43	43	43	43	43	43	43	43	43	43	43	43	43	
4	7	9	12	16	20	22	24	27	27	29	32	35	36	36	37	37	37	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	43	44	45	45	46	46	46	46	46	46	46	46	47	47	
4	7	9	11	14	18	20	22	24	24	26	29	30	31	31	32	32	33	34	34	34	34	34	34	34	35	36	37	38	39	39	39	40	40	40	41	41	42	42	42	42	42	42	42	43	43	44	44	44	44	45	45	45	45	45	45	45	46	46	46	
4	7	10	13	16	20	22	25	28	29	31	34	35	36	36	36	36	36	38	38	38	38	38	38	38	38	39	39	40	41	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	45	
4	6	8	10	14	18	21	23	26	26	29	32	34	35	36	37	37	38	39	39	39	39	39	39	39	39	40	41	41	41	41	41	41	41	41	42	42	43	44	44	44	44	44	44	45	45	46	46	46	46	46	46	46	46	46	46	46	46	46	46	
3	5	8	10	13	17	20	22	25	26	29	32	33	34	34	35	35	35	36	36	36	36	36	36	36	37	38	39	40	41	41	41	41	41	41	42	42	43	43	43	43	43	43	43	44	44	46	46	46	46	46	46	46	46	46	46	46	46	46	46	
3	6	9	11	14	18	21	22	24	24	27	30	32	33	33	34	34	34	34	34	34	34	34	34	34	34	34	35	36	37	38	38	39	39	39	40	40	41	41	41	41	41	41	42	43	43	44	45	45	45	46	46	46	46	46	46	46	46	47	47	
3	5	7	9	12	16	18	20	22	23	26	29	30	32	32	33	33	34	35	35	35	35	35	35	35	35	36	37	38	39	39	39	40	40	40	41	41	42	43	43	43	43	44	44	45	45	46	46	46	46	46	46	46	46	46	46	46	46	47	47	
4	7	9	11	14	18	21	23	26	27	30	33	33	34	34	34	34	34	35	35	35	35	35	35	35	35	36	36	37	38	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	
3	5	8	10	13	17	19	21	24	25	28	31	33	34	34	35	35	35	36	36	36	36	36	36	36	37	38	39	40	41	41	41	41	41	41	42	42	43	43	43	43	43	43	43	44	44	45	46	47	47	47	48	48	48	49	49	49	49	50	50	
4	6	9	11	14	18	20	22	24	25	27	31	31	32	32	33	33	33	34	34	34	34	34	34	34	35	35	36	37	38	39	39	40	40	40	40	40	41	42	42	43	43	43	43	43	43	43	44	44	44	44	45	45	45	45	45	45	45	46	46	
4	7	10	12	15	19	21	23	26	27	29	32	33	34	34	35	35	35	36	36	36	36	36	36	36	36	36	37	38	39	39	39	39	39	39	40	40	41	42	42	42	42	42	42	43	44	45	45	45	45	45	45	45	45	45	45	45	45	46	46	
3	6	9	11	14	18	21	23	26	27	29	32	34	35	35	36	36	36	37	37	37	37	37	37	37	37	38	39	40	41	41	41	41	41	41	42	42	43	43	43	44	44	44	44	45	45	45	46	46	46	46	47	47	47	47	47	47	47	48	48	
3	5	8	10	14	18	21	22	24	25	27	30	32	34	34	35	35	35	36	36	36	36	36	36	36	36	37	38	38	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	43	44	44	44	44	44	44	44	44	44	44	45	45	45	
3	6	9	11	15	19	22	23	26	27	30	33	35	36	36	37	37	37	38	38	38	38	38	38	38	38	39	40	40	41	42	42	42	42	42	43	43	44	44	44	44	44	44	44	45	45	45	45	45	45	45	46	46	46	46	46	46	46	47	47	
3	5	8	11	14	18	20	21	24	25	28	31	32	33	33	33	33	33	34	34	34	34	34	34	34	34	35	35	36	37	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	41	42	42	42	42	43	43	43	43	43	43	43	44	44	
3	5	8	10	14	18	21	24	27	28	30	32	32	33	33	34	34	34	35	35	35	35	35	35	35	35	36	37	38	39	39	39	39	39	39	40	40	41	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	44	44	44	44	44	45	45	
4	6	9	11	15	19	21	23	26	27	30	33	33	34	34	35	35	35	36	36	36	36	36	36	36	36	37	37	37	38	38	38	38	38	38	39	40	41	41	41	42	42	42	42	43	43	43	43	43	43	43	44	44	44	44	44	44	45	45	45	
3	5	8	10	13	17	19	21	24	24	27	30	32	34	34	35	35	35	36	36	36	36	36	36	36	36	37	37	38	38	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	43	44	44	44	44	45	45	45	45	45	45	45	45	45	
4	6	8	10	14	18	20	22	25	25	27	30	31	32	32	32	32	32	33	33	33	33	33	33	33	34	35	36	36	37	37	37	37	37	37	38	38	39	40	40	40	40	40	40	41	41	42	43	43	43	43	43	43	43	43	43	43	43	43	43	
5	7	10	12	16	20	22	24	27	28	31	33	35	36	36	36	36	36	37	37	37	37	37	37	37	38	39	40	40	40	40	40	40	40	40	41	41	42	42	42	42	42	42	43	44	44	45	45	46	46	46	47	47	47	47	47	47	47	47	47	
3	5	9	11	15	19	22	23	26	27	30	33	34	35	35	36	36	36	37	37	37	37	37	37	37	37	37	38	38	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	
3	5	8	10	13	17	19	21	24	26	29	32	33	33	33	34	34	34	35	35	35	35	35	35	35	35	36	37	38	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	
3	5	8	10	14	18	20	22	25	26	29	32	34	35	35	36	36	36	37	37	37	37	37	37	37	37	38	39	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	43	43	43	44	44	44	44	45	45	45	45	45	45	45	46	46	
4	7	11	13	16	20	22	24	27	27	30	33	34	35	35	36	36	36	37	37	37	37	37	37	37	38	38	39	40	41	41	41	41	41	41	42	42	43	43	43	43	43	43	43	44	44	45	46	46	46	46	46	46	46	46	46	46	46	47	47	
3	6	9	11	14	18	20	22	24	25	27	29	31	32	32	33	33	33	34	34	34	34	34	34	34	34	34	35	36	37	38	38	38	38	38	39	39	40	40	40	40	40	40	40	40	40	41	41	41	41	42	42	42	42	42	42	43	43	44	44	
4	6	8	10	13	17	19	21	24	25	29	31	32	34	34	34	34	34	34	34	34	34	34	34	34	35	36	37	38	38	38	38	38	38	38	39	39	40	41	41	42	42	42	42	43	43	44	44	45	45	45	45	45	45	45	45	45	45	46	46	
3	5	8	10	14	18	20	22	25	25	28	31	32	33	33	34	34	34	35	35	35	35	35	35	35	36	36	37	37	38	38	38	38	38	38	39	39	40	41	41	41	41	41	41	42	42	44	44	44	44	44	44	44	44	44	44	44	45	45	45	
3	5	9	11	15	19	21	23	26	28	31	33	34	35	35	35	35	35	36	36	36	36	36	36	36	37	37	38	38	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	41	41	42	42	43	43	43	44	44	44	44	44	44	44	45	45	
4	6	9	11	15	19	21	23	26	27	30	33	35	37	37	37	37	37	38	38	38	38	38	38	38	39	40	41	41	42	43	43	43	43	43	44	44	45	46	46	46	46	46	46	47	47	48	49	49	49	49	49	49	49	49	49	49	49	49	49	
4	7	10	12	15	19	21	23	26	27	30	33	33	34	34	34	34	35	36	36	36	36	36	36	36	37	38	39	40	41	42	42	42	42	42	43	43	44	44	44	44	44	44	44	45	45	45	45	45	45	45	46	46	46	46	46	46	46	47	47	
4	6	8	10	13	17	19	21	24	24	26	29	29	30	30	30	30	30	31	31	31	31	31	31	31	32	32	33	34	35	35	35	35	35	35	36	36	37	38	38	39	39	39	39	40	40	41	41	41	41	41	41	41	41	41	41	41	41	41	41	
4	7	10	12	16	20	22	24	27	28	31	32	34	35	35	36	36	36	37	37	37	37	37	37	37	38	38	39	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	43	44	44	46	47	47	47	48	49	49	49	49	49	49	49	50	50	
5	7	9	11	14	18	21	23	25	26	29	32	32	33	33	34	34	34	35	35	35	35	35	35	35	36	37	38	39	40	40	40	40	40	40	41	41	42	43	43	43	43	43	43	44	44	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
3	6	9	11	14	18	21	23	26	27	30	33	34	35	35	35	35	35	35	35	35	35	35	35	35	36	37	38	39	39	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	43	44	44	44	44	44	44	44	44	44	44	44	44	44	
4	6	9	11	14	18	21	23	26	27	29	32	33	34	34	34	34	34	35	35	35	35	35	35	35	36	37	38	39	40	41	41	41	41	41	42	42	43	43	43	43	43	43	43	44	44	45	46	46	46	46	46	46	46	46	46	46	46	47	47	
3	6	9	11	14	18	21	22	25	26	29	33	34	35	35	36	36	36	36	36	36	36	36	36	36	36	36	36	37	38	38	38	38	38	38	38	38	39	39	39	39	39	39	39	39	39	39	39	39	39	40	41	41	41	41	41	41	42	42	42	
3	6	9	11	15	19	22	24	26	27	30	33	34	35	35	35	35	35	36	36	36	36	36	36	36	37	38	39	39	40	40	40	40	40	40	41	41	42	42	42	42	42	42	42	43	43	43	44	44	44	44	45	45	45	45	45	45	45	46	46	
4	7	10	12	15	19	21	23	26	27	29	32	32	32	32	33	33	33	34	34	34	34	34	34	34	34	35	36	37	38	39	39	39	39	39	40	40	41	41	41	41	41	41	41	42	42	43	44	44	44	44	45	45	45	45	45	45	45	46	46	
4	7	11	13	16	20	23	26	29	30	32	36	37	38	38	39	39	39	40	40	40	40	40	40	40	40	40	40	41	42	42	42	42	42	42	43	43	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	45	45	45	45	45	45	46	46	
3	5	7	9	12	16	19	20	23	24	26	29	31	32	33	34	34	34	35	35	35	35	35	35	35	35	36	37	38	39	39	39	39	39	39	40	40	41	42	42	42	42	42	42	43	43	44	44	45	45	45	45	45	45	45	45	45	45	46	46	
3	5	8	10	13	17	20	21	24	24	27	28	29	30	30	31	31	31	32	32	32	32	32	32	32	33	34	34	35	36	36	36	36	36	36	37	37	38	38	38	38	38	38	38	38	38	39	39	40	40	40	40	40	40	40	40	40	40	41	42	
4	6	9	11	14	18	21	23	26	27	30	33	34	36	36	36	36	37	38	38	38	38	38	38	38	38	39	40	41	42	42	42	42	42	42	43	43	44	44	44	44	44	44	44	45	45	45	45	45	45	45	46	46	46	46	46	46	46	47	47	
3	6	8	10	13	17	19	20	23	25	27	30	31	32	32	32	32	32	33	33	33	33	33	33	33	34	35	36	37	38	38	38	38	38	38	39	39	40	41	41	41	41	41	42	43	43	43	44	45	45	45	46	46	46	46	46	46	46	47	47	
3	6	9	11	14	18	20	22	25	26	28	31	32	33	33	34	34	34	35	35	35	35	35	35	35	35	36	37	38	39	39	39	39	39	39	40	40	41	41	41	41	41	41	42	43	43	43	43	43	43	43	44	44	44	44	44	44	45	46	46	
